,Phân Loại,Số dự án,Vốn đăng ký cấp mới,Vốn đăng ký điều chỉnh,Vốn đăng ký,Date,Month,PreMonth,PreYearMonth,Vùng Miền,Trong Nước,Số dự án trong tháng,Vốn đăng ký cấp mới trong tháng,Vốn đăng ký điều chỉnh trong tháng,Vốn đăng ký trong tháng,Số dự án trong tháng - YOY,Vốn đăng ký cấp mới trong tháng - YOY,Vốn đăng ký điều chỉnh trong tháng - YOY,Vốn đăng ký trong tháng - YOY,Số dự án trong tháng - MOM,Vốn đăng ký cấp mới trong tháng - MOM,Vốn đăng ký điều chỉnh trong tháng - MOM,Vốn đăng ký trong tháng - MOM
0,TỔNG SỐ,3375,19731.075597449995,13956.975848544636,33688.05144599463,2024-12-29,2024-12,2024-11,2023-12,TỔNG SỐ,TỔNG SỐ,340,2343.890595450004,4025.216779748749,6369.10737519875,5.263157894410966,-37.91479818153917,185.50457999991073,22.83382485575119,16.438356163984807,8.653080965717336,154.2560132656448,70.28061767541064
1,Quảng Ninh,45,2279.760311,590.948816,2870.709127,2024-12-29,2024-12,2024-11,2023-12,Miền Bắc,Trong Nước,12,315.92329900000004,263.650737,579.574036,,,,,1099.9999988,52.91543997989885,140.12558756044075,83.17936048511513
2,Bắc Ninh,361,1885.11053638,2954.9100646350003,4840.0206010150005,2024-12-29,2024-12,2024-11,2023-12,Miền Bắc,Trong Nước,18,34.0,27.353515000000243,61.3535150000007,-48.57142857289796,-37.35915136209748,-69.66708789047075,-57.52769813518471,49.99999998749999,-84.89066057652053,-75.71518361089636,-81.82993833365701
3,Bà Rịa - Vũng Tàu,36,1683.20363655,-9.557457,1673.64617955,2024-12-29,2024-12,2024-11,2023-12,Miền Nam,Trong Nước,1,2.0,0.0,2.0,,,,,-1.000000082740371e-07,5614.285551007049,,5614.285551044171
4,Hưng Yên,71,1406.343102,40.3491651875,1446.6922671875,2024-12-29,2024-12,2024-11,2023-12,Miền Bắc,Trong Nước,14,731.097704,1.5,732.5977039999999,179.99999994399997,307.25366339826286,-99.4187295367298,327.7794441895079,27.272727261157016,2555.355506669084,-81.72512170987008,1949.7438636950806
5,Hà Nội,293,1211.58709099,297.37272820093995,1508.95981919094,2024-12-29,2024-12,2024-11,2023-12,Miền Bắc,Trong Nước,40,67.31096805999982,297.37272820093995,16.024080059999733,37.931034478002374,-18.343600271047663,703.8489465339653,-86.58237028105309,59.9999999936,274.94034368406784,91.02363660163638,-90.77090597864498
6,Thái Bình,46,1136.0157295,25.208909,1161.2246384999999,2024-12-29,2024-12,2024-11,2023-12,Miền Bắc,Trong Nước,8,59.693359999999984,0.5,60.193359999999984,-11.111111120987658,-97.25619335909082,,-97.2332108477955,99.99999994999999,-53.395681805645864,-96.66604032699836,-57.931056519990015
7,Đồng Nai,102,1024.96137537,610.84161865,1635.80299402,2024-12-29,2024-12,2024-11,2023-12,Miền Nam,Trong Nước,9,123.42375300000003,233.03828700000003,356.4620399999999,-30.769230774556206,-3.5601242389157193,,178.52948898047708,-1.1111112030448567e-08,152.6720102124404,784.9869204516841,374.14592668569367
8,Ninh Thuận,5,916.838309,25.336295,942.1746039999999,2024-12-29,2024-12,2024-11,2023-12,Miền Trung,Trong Nước,0,0.0,0.0,0.0,,,,,,,-100.0,-100.0
9,Nghệ An,19,867.795243,881.76339,1749.558633,2024-12-29,2024-12,2024-11,2023-12,Miền Bắc,Trong Nước,4,176.30000000000007,4.599999999999909,180.9000000000001,-2.5000005621222954e-08,-38.571428571642585,-76.4102564114666,-40.97879282237851,,,,
