,Ngành,YOY-Pre-Month,MOM,E-YOY,YTD-YOY,Date,Month,PreMonth,YOY
0,Toàn ngành công nghiệp,8.299999999999997,3.989999999999995,7.019999999999996,8.269999999999996,2024-10-29,2024-10,2024-09,7.019999999999996
1,Khai khoáng,-10.36,13.780000000000001,-10.420000000000002,-7.230000000000004,2024-10-29,2024-10,2024-09,-10.420000000000002
2,Khai thác than cứng và than non,-25.86,36.30000000000001,-7.709999999999994,-5.900000000000006,2024-10-29,2024-10,2024-09,-7.709999999999994
3,Khai thác dầu thô và khí đốt tự nhiên,-8.86,10.75,-14.230000000000004,-11.849999999999994,2024-10-29,2024-10,2024-09,-14.230000000000004
4,Khai thác quặng kim loại,14.239999999999995,-0.45999999999999375,19.650000000000006,17.290000000000006,2024-10-29,2024-10,2024-09,19.650000000000006
5,Khai khoáng khác,7.909999999999997,2.549999999999997,5.329999999999998,2.700000000000003,2024-10-29,2024-10,2024-09,5.329999999999998
6,Hoạt động dịch vụ hỗ trợ khai thác mỏ và quặng,-1.2099999999999937,-2.5,-18.97,8.629999999999995,2024-10-29,2024-10,2024-09,-18.97
7,"Công nghiệp chế biến, chế tạo",10.400000000000006,3.569999999999993,8.780000000000001,9.549999999999997,2024-10-29,2024-10,2024-09,8.780000000000001
8,"Sản xuất, chế biến thực phẩm",6.810000000000002,2.6400000000000006,9.439999999999998,7.469999999999999,2024-10-29,2024-10,2024-09,9.439999999999998
9,Sản xuất đồ uống,4.700000000000003,6.930000000000007,3.1899999999999977,0.9200000000000017,2024-10-29,2024-10,2024-09,3.1899999999999977
10,Sản xuất sản phẩm thuốc lá,7.659999999999997,0.7000000000000028,2.989999999999995,6.049999999999997,2024-10-29,2024-10,2024-09,2.989999999999995
11,Dệt,8.950000000000003,1.1099999999999994,8.159999999999997,12.11,2024-10-29,2024-10,2024-09,8.159999999999997
12,Sản xuất trang phục,14.89,1.9699999999999989,18.08,10.319999999999993,2024-10-29,2024-10,2024-09,18.08
13,Sản xuất da và các sản phẩm có liên quan,14.900000000000006,4.810000000000002,12.629999999999995,11.430000000000007,2024-10-29,2024-10,2024-09,12.629999999999995
14,"Chế biến gỗ và sản xuất sản phẩm từ gỗ, tre, nứa (trừ giường, tủ, bàn ghế); sản xuất sản phẩm từ rơm, rạ và vật liệu tết bện",-0.9099999999999966,-0.5100000000000051,10.939999999999998,8.670000000000002,2024-10-29,2024-10,2024-09,10.939999999999998
15,Sản xuất giấy và sản phẩm từ giấy,8.219999999999999,2.700000000000003,7.780000000000001,9.25,2024-10-29,2024-10,2024-09,7.780000000000001
16,"In, sao chép bản ghi các loại",8.420000000000002,1.9699999999999989,7.150000000000006,9.39,2024-10-29,2024-10,2024-09,7.150000000000006
17,"Sản xuất than cốc, sản phẩm dầu mỏ tinh chế",96.06,-1.8599999999999994,18.86,16.040000000000006,2024-10-29,2024-10,2024-09,18.86
