,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
0,TỔNG TRỊ GIÁ,30060.507368,-2.574474479652409,30060.507368,-2.574474479652409,2025-01-29,2025-01,2024-12,-14.125120897722866
1,Khu vực kinh tế trong nước,10891.665402999999,-3.2955376534351473,10891.665402999999,-3.2955376534351473,2025-01-29,2025-01,2024-12,-22.198743083554092
2,Khu vực có vốn đầu tư NN,19168.841965,-2.159957957252928,19168.841965,-2.159957957252928,2025-01-29,2025-01,2024-12,-8.744409444176242
3,Thủy sản,234.091362,-4.349597184987715,234.091362,-4.349597184987715,2025-01-29,2025-01,2024-12,-23.52933647684111
4,Sữa và sản phẩm sữa,103.952942,27.33657783549279,103.952942,27.33657783549279,2025-01-29,2025-01,2024-12,4.758480238625282
5,Rau quả,239.912356,10.957424878049423,239.912356,10.957424878049423,2025-01-29,2025-01,2024-12,-21.153314256222558
6,Hạt điều,172.660156,65.67036428717438,172.660156,65.67036428717438,2025-01-29,2025-01,2024-12,-6.536694074317012
7,Lúa mỳ,107.423892,-31.307565676991118,107.423892,-31.307565676991118,2025-01-29,2025-01,2024-12,6.475417498952723
8,Ngô,249.774076,0.18761215092530392,249.774076,0.18761215092530392,2025-01-29,2025-01,2024-12,-27.242080187019255
9,Đậu tương,85.932128,-29.612156532232703,85.932128,-29.612156532232703,2025-01-29,2025-01,2024-12,-22.28926801124757
10,Dầu mỡ động thực vật,98.433131,23.608466042865814,98.433131,23.608466042865814,2025-01-29,2025-01,2024-12,-30.780451358843834
11,Chế phẩm thực phẩm khác,96.021622,5.786028973138315,96.021622,5.786028973138315,2025-01-29,2025-01,2024-12,-22.020902430468823
12,Thức ăn gia súc và NPL,304.272735,-23.53792512089848,304.272735,-23.53792512089848,2025-01-29,2025-01,2024-12,-33.419241877956296
13,Quặng và khoáng sản khác,200.892362,-12.046154749199403,200.892362,-12.046154749199403,2025-01-29,2025-01,2024-12,-14.148049603715577
14,Than đá,562.933936,-15.93437760316209,562.933936,-15.93437760316209,2025-01-29,2025-01,2024-12,-5.084496084807938
15,Dầu thô,615.581879,-25.719994655495242,615.581879,-25.719994655495242,2025-01-29,2025-01,2024-12,-3.3563529075354523
16,Xăng dầu,589.584761,0.7307919106340535,589.584761,0.7307919106340535,2025-01-29,2025-01,2024-12,-29.51928072681683
17,Khí đốt hóa lỏng,155.969527,-22.345867605660672,155.969527,-22.345867605660672,2025-01-29,2025-01,2024-12,12.978193679285141
18,Sản phẩm khác từ dầu mỏ,118.697934,-39.26442773814745,118.697934,-39.26442773814745,2025-01-29,2025-01,2024-12,-35.308881514312134
19,Hóa chất,540.405176,-20.341133147081962,540.405176,-20.341133147081962,2025-01-29,2025-01,2024-12,-23.96207221151809
20,Sản phẩm hoá chất,541.674018,-18.967415480213262,541.674018,-18.967415480213262,2025-01-29,2025-01,2024-12,-22.534569927005307
21,Tân dược,252.633183,-25.791454872816885,252.633183,-25.791454872816885,2025-01-29,2025-01,2024-12,-51.24473707723619
22,Phân bón,143.828853,4.536462202506726,143.828853,4.536462202506726,2025-01-29,2025-01,2024-12,15.670816871844679
23,"Chất thơm, mỹ phẩm và chế phẩm vệ sinh",93.31556,-11.004121929772694,93.31556,-11.004121929772694,2025-01-29,2025-01,2024-12,-29.821907321944835
24,Chất dẻo,871.703048,-4.9807980239074965,871.703048,-4.9807980239074965,2025-01-29,2025-01,2024-12,-21.866326330947544
25,Sản phẩm chất dẻo,679.675934,-7.962609125873087,679.675934,-7.962609125873087,2025-01-29,2025-01,2024-12,-18.42805441516444
26,Cao su,282.939809,13.769771773437611,282.939809,13.769771773437611,2025-01-29,2025-01,2024-12,-25.548147724868357
27,Sản phẩm từ cao su,80.371321,-8.729312374284845,80.371321,-8.729312374284845,2025-01-29,2025-01,2024-12,-23.802095384233965
