,Ngành,Total-Pre-Month,E-Total-M,E-MOM,YOY,Total-YTD,YTD-YOY,Date,Month,PreMonth,Total-M,MOM
0,Than đá (than sạch),3360.81061929694,3224.2067667187803,-4.064610239976446,-19.97182943685658,3224.2067667187803,-19.97182943685658,2025-01-29,2025-01,2024-12,3224.2067667187803,-4.064610239976446
1,Dầu mỏ thô khai thác,691.56,652.55,-5.640869917288455,-8.232302848166682,652.55,-8.232302848166682,2025-01-29,2025-01,2024-12,652.55,-5.640869917288455
2,Khí đốt thiên nhiên dạng khí,572.37,526.10875,-8.082402991072215,-4.752561735100301,526.10875,-4.752561735100301,2025-01-29,2025-01,2024-12,526.10875,-8.082402991072215
3,Khí hoá lỏng (LPG),77.419,71.1521952,-8.094659967191518,-9.199526703576183,71.1521952,-9.199526703576183,2025-01-29,2025-01,2024-12,71.1521952,-8.094659967191518
4,"Xăng, dầu",1319.604931431947,1390.025193417735,5.336465506336992,-6.032059493991724,1390.025193417735,-6.032059493991724,2025-01-29,2025-01,2024-12,1390.025193417735,5.336465506336992
5,Alumin,132.15989000000002,127.5,-3.525948757977943,1.8344091040440844,127.5,1.8344091040440844,2025-01-29,2025-01,2024-12,127.5,-3.525948757977943
6,Thuỷ hải sản chế biến,557.3788700812246,522.7637043574867,-6.210347679432758,-0.5106450866333176,522.7637043574867,-0.5106450866333176,2025-01-29,2025-01,2024-12,522.7637043574867,-6.210347679432758
7,Sữa tươi,155.18795644545702,142.0373763370596,-8.473969507433637,7.28771036439268,142.0373763370596,7.28771036439268,2025-01-29,2025-01,2024-12,142.0373763370596,-8.473969507433637
8,Sữa bột,12.5969289764521,12.05871848325506,-4.272553208826821,5.703576806404456,12.05871848325506,5.703576806404456,2025-01-29,2025-01,2024-12,12.05871848325506,-4.272553208826821
9,Đường kính,163.2028525503418,247.46329200044102,51.62926881079369,-10.70840944642481,247.46329200044102,-10.70840944642481,2025-01-29,2025-01,2024-12,247.46329200044102,51.62926881079369
10,Bột ngọt,29.0699804965329,25.538070527790797,-12.14968124647811,-5.432082773868842,25.538070527790797,-5.432082773868842,2025-01-29,2025-01,2024-12,25.538070527790797,-12.14968124647811
11,Thức ăn cho gia súc,1258.4391996031702,1177.6377622848502,-6.420766084193787,-1.8282712049740866,1177.6377622848502,-1.8282712049740866,2025-01-29,2025-01,2024-12,1177.6377622848502,-6.420766084193787
