,Phân Loại,Pre-M,E-M,YTD,M-YOY,YTD-YOY,E-MOM,Date,Month,PreMonth,M,MOM
0,TỔNG SỐ,532881.018979433,545729.5865348832,5246225.648695457,7.118222961278732,8.533082932976228,2.4111512885292257,2024-10-29,2024-10,2024-09,545729.5865348832,2.4111512885292257
1,Bán lẻ hàng hóa,410159.19582336105,419530.40013989597,4048653.7140953736,7.36484914673872,7.846648744097351,2.2847724522482054,2024-10-29,2024-10,2024-09,419530.40013989597,2.2847724522482054
2,"Dịch vụ lưu trú, ăn uống",59872.22403152694,61177.76634125107,602272.060048095,6.51197034619986,12.461579124593186,2.1805475424408343,2024-10-29,2024-10,2024-09,61177.76634125107,2.1805475424408343
3,Du lịch lữ hành,4900.131413164656,4820.764269689699,50269.061643665176,-1.8643661430531182,14.229529577837368,-1.6196941833382112,2024-10-29,2024-10,2024-09,4820.764269689699,-1.6196941833382112
4,Dịch vụ khác,57949.467711380275,60200.6,545030.8129083235,6.809110051853054,8.977761386199617,3.8846470511715125,2024-10-29,2024-10,2024-09,60200.6,3.8846470511715125
5,TỔNG SỐ,529241.8109917021,535773.05746755,4703401.100648691,107.63386592294519,108.76695359625641,1.2340760575226568,2024-09-29,2024-09,2024-08,532881.018979433,0.6876266976926217
6,Bán lẻ hàng hóa,404976.8995021764,411272.1766209079,3630236.294753024,107.70130455714886,107.93571586491821,1.5544780767668698,2024-09-29,2024-09,2024-08,410159.19582336105,1.279652327714274
7,"Dịch vụ lưu trú, ăn uống",62448.1,61727.36591962472,542962.4355949417,107.94000530832474,113.56709339291142,-1.1541329205776947,2024-09-29,2024-09,2024-08,59872.22403152694,-4.124826805736376
8,Du lịch lữ hành,5256.777925030604,5058.37734013891,45606.55,101.86325979148485,116.65654345580903,-3.7741861596814346,2024-09-29,2024-09,2024-08,4900.131413164656,-6.784507866838823
9,Dịch vụ khác,56559.9743730625,57715.137586878474,484595.82699977513,107.3622101397647,109.20039679972125,2.042368700870796,2024-09-29,2024-09,2024-08,57949.467711380275,2.456672503337515
10,TỔNG SỐ,524336.572689659,526581.6496136949,4148354.8818031335,107.89114900142155,108.45886289117692,0.4281747718873419,2024-08-29,2024-08,2024-07,529241.8109917021,0.9355132862239657
11,Bán lẻ hàng hóa,401789.4673429375,402265.0596565833,3199652.2782865237,107.45738542665248,107.31800984649243,0.11836853683371373,2024-08-29,2024-08,2024-07,404976.8995021764,0.7933090382676369
12,"Dịch vụ lưu trú, ăn uống",61847,62429.62312477285,481203.5336086572,109.70815514255617,114.32411971337785,0.9420394275758639,2024-08-29,2024-08,2024-07,62448.1,0.97191456335797
13,Du lịch lữ hành,5686.52892290074,5625.866855971786,40917.254891752,107.11737022142418,126.17541682297613,-1.0667679308665186,2024-08-29,2024-08,2024-07,5256.777925030604,-7.5573518344283315
14,Dịch vụ khác,55014.07875990905,56261.09997636686,426581.815016201,109.11386744700538,109.37713251004004,2.2667310706047346,2024-08-29,2024-08,2024-07,56559.9743730625,2.8100000000000023
15,TỔNG SỐ,521247.18580344337,528284.7617173981,3625721.421217179,109.41233944419639,108.67651168281807,1.3501417572369405,2024-07-29,2024-07,2024-06,524336.572689659,0.5926913315519755
16,Bán lẻ hàng hóa,401088.8218649784,405537.628599978,2801135.3798869816,108.60300132212303,107.44176369399707,1.1091824285487633,2024-07-29,2024-07,2024-06,401789.4673429375,0.17468586501642847
17,"Dịch vụ lưu trú, ăn uống",61189.9650254706,62233.868256505826,419161.28107647854,113.90155709046257,115.1521526807795,1.7060039674817489,2024-07-29,2024-07,2024-06,61847,1.0737626247308896
18,Du lịch lữ hành,5314.0950553842085,5560.52684994998,35165.3859628295,106.84245720584913,131.8200758922088,4.637323796383512,2024-07-29,2024-07,2024-06,5686.52892290074,7.008415612347463
19,Dịch vụ khác,53654.30385761015,54952.8,370259.3,110.83034959579847,109.39911623215689,2.4201155341346805,2024-07-29,2024-07,2024-06,55014.07875990905,2.534325868633985
20,TỔNG SỐ,516774.60954503936,522502.3117206785,3098691.785417016,109.14681674583102,108.5959859043329,1.1083559582545632,2024-06-29,2024-06,2024-05,521247.18580344337,0.8654791036157121
21,Bán lẻ hàng hóa,399693.8534972927,403763.7900302897,2398272.7194523145,108.09298804835159,107.36739211228326,1.0182634777556245,2024-06-29,2024-06,2024-05,401088.8218649784,0.3490092117954333
22,"Dịch vụ lưu trú, ăn uống",59986.91004016853,60629.47631729002,356366.9241117921,116.86381001892374,115.19185146220686,1.0711774897076793,2024-06-29,2024-06,2024-05,61189.9650254706,2.0055291804436735
