,Phân Loại,E-Total-M,YOP,YTD-YOY,Total-YOY,Total-Pre-Month,E-MOM,Date,Month,PreMonth,PreYearMonth,Total-M,MOM,M-YOY
0,TỔNG SỐ,35417.802,4.130232402984639,9.552571841268318,35417.802,,,2025-01-29,2025-01,2024-12,2024-01,35417.802,,7.553578185250217
1,Trung ương,4862.64,3.7325596995468446,1.2754613237805756,4862.64,,,2025-01-29,2025-01,2024-12,2024-01,4862.64,,1.2269708766159368
2,Bộ Giao thông Vận tải,3024.23,4.251383281413421,-2.926741584574728,3024.23,,,2025-01-29,2025-01,2024-12,2024-01,3024.23,,-2.926741584574728
3,Bộ NN và PTNT,591.31,2.646961395215585,88.60359785659602,591.31,,,2025-01-29,2025-01,2024-12,2024-01,591.31,,88.60359785659602
4,Bộ Y tế,107.64,1.869408836794912,186.88699360341155,107.64,,,2025-01-29,2025-01,2024-12,2024-01,107.64,,228.97310513447434
5,Bộ Giáo dục - Đào tạo,60.4,2.0655221941043704,39.75011568718185,60.4,,,2025-01-29,2025-01,2024-12,2024-01,60.4,,39.75011568718185
6,"Bộ Văn hoá, Thể thao và Du lịch",45.12,2.7678808044521657,20.25586353944564,45.12,,,2025-01-29,2025-01,2024-12,2024-01,45.12,,20.25586353944564
7,Bộ Tài nguyên và Môi trường,30.12,2.8900402993667242,6.355932203389841,30.12,,,2025-01-29,2025-01,2024-12,2024-01,30.12,,6.355932203389841
8,Bộ Thông tin và Truyền thông,19.31,3.2544468451584416,35.60393258426967,19.31,,,2025-01-29,2025-01,2024-12,2024-01,19.31,,35.60393258426967
9,Bộ Công Thương,15.54,3.669369501258542,-49.74126778783958,15.54,,,2025-01-29,2025-01,2024-12,2024-01,15.54,,-56.37282425603593
10,Bộ Xây dựng,10.72,4.122807354903718,-38.53211009174312,10.72,,,2025-01-29,2025-01,2024-12,2024-01,10.72,,-39.57158962795941
11,Bộ Khoa học và Công nghệ,10.12,3.0666666666666664,2.845528455284537,10.12,,,2025-01-29,2025-01,2024-12,2024-01,10.12,,2.845528455284537
12,Địa phương,30555.162000000004,4.2014697584024026,10.99624990505157,30555.162000000004,,,2025-01-29,2025-01,2024-12,2024-01,30555.162000000004,,8.63408692387442
13,Vốn ngân sách NN cấp tỉnh,20060.379,3.8268444145465317,11.783845332864644,20060.379,,,2025-01-29,2025-01,2024-12,2024-01,20060.379,,8.735030583182208
14,Vốn ngân sách NN cấp huyện,9173.169,5.150707543809304,9.594431611072991,9173.169,,,2025-01-29,2025-01,2024-12,2024-01,9173.169,,8.164200914986466
15,Vốn ngân sách NN cấp xã,1321.614,5.296527813732259,9.016085806364885,1321.614,,,2025-01-29,2025-01,2024-12,2024-01,1321.614,,10.407390266274803
16,Hà Nội,5126.076,4.902037072219811,29.087396361431303,5126.076,,,2025-01-29,2025-01,2024-12,2024-01,5126.076,,29.087396361431303
17,TP. Hồ Chí Minh,1700.57,2.016972615158228,-0.3602235401513383,1700.57,,,2025-01-29,2025-01,2024-12,2024-01,1700.57,,12.547485737733126
18,Hưng Yên,1593.827,5.534781281393716,70.12035667245183,1593.827,,,2025-01-29,2025-01,2024-12,2024-01,1593.827,,70.12035667245183
19,Bà Rịa - Vũng Tàu,938.98,3.6624784546898077,1.2184197732616013,938.98,,,2025-01-29,2025-01,2024-12,2024-01,938.98,,-34.334721028512206
20,Hải Phòng,892.085,3.508218812242092,2.48396542989191,892.085,,,2025-01-29,2025-01,2024-12,2024-01,892.085,,2.48396542989191
21,Bình Dương,839.575,2.332152777777778,-9.196359526500501,839.575,,,2025-01-29,2025-01,2024-12,2024-01,839.575,,-29.63692713064991
22,Đồng Nai,734.634,4.790760533577073,5.225057472910748,734.634,,,2025-01-29,2025-01,2024-12,2024-01,734.634,,5.225057472910748
23,Thanh Hóa,692.161,4.868117708181606,10.355542800656863,692.161,,,2025-01-29,2025-01,2024-12,2024-01,692.161,,10.355542800656863
24,Quảng Ninh,677.348,4.8075426439554,-18.52344585434858,677.348,,,2025-01-29,2025-01,2024-12,2024-01,677.348,,-18.52344585434858
25,Đắk Lắk,662.353,6.587909830338344,45.499817672980015,662.353,,,2025-01-29,2025-01,2024-12,2024-01,662.353,,45.499817672980015
26,Nam Định,592.2,4.877428460264524,-12.397486420279051,592.2,,,2025-01-29,2025-01,2024-12,2024-01,592.2,,-12.397486420279051
27,Ninh Bình,573.345,5.439237818908753,31.34148855748745,573.345,,,2025-01-29,2025-01,2024-12,2024-01,573.345,,31.19782704206787
28,Đà Nẵng,572.927,6.679408513728516,18.245085392910582,572.927,,,2025-01-29,2025-01,2024-12,2024-01,572.927,,
29,Nghệ An,568.718,5.684932177816891,-6.953785946490726,568.718,,,2025-01-29,2025-01,2024-12,2024-01,568.718,,6.382564810502117
30,Thái Bình,552.031,3.841931037633311,6.064757352065271,552.031,,,2025-01-29,2025-01,2024-12,2024-01,552.031,,6.064757352065271
31,Hà Nam,530.872,3.4036845594467646,89.81950284619123,530.872,,,2025-01-29,2025-01,2024-12,2024-01,530.872,,
32,Cần Thơ,502.04,5.10690795664072,2.201014600144944,502.04,,,2025-01-29,2025-01,2024-12,2024-01,502.04,,
33,Hòa Bình,493.879,4.277498931229374,139.06933741238433,493.879,,,2025-01-29,2025-01,2024-12,2024-01,493.879,,-42.17300128913206
34,Quảng Nam,489.572,5.911315298202222,1.329823014527662,489.572,,,2025-01-29,2025-01,2024-12,2024-01,489.572,,-12.160287935523101
35,Bắc Ninh,480.457,5.755155337818324,41.07147576025392,480.457,,,2025-01-29,2025-01,2024-12,2024-01,480.457,,
36,Đồng Tháp,467.215,5.83281773479209,0.07196725489902178,467.215,,,2025-01-29,2025-01,2024-12,2024-01,467.215,,
37,An Giang,406.155,4.299178037763498,-18.412134677077546,406.155,,,2025-01-29,2025-01,2024-12,2024-01,406.155,,-18.412134677077546
38,TỔNG SỐ,86378.37819,84.62666196768063,3.309492380676687,661294.16324,79042.785,9.280534826802977,2024-12-29,2024-12,2024-11,2023-12,86378.37819,9.280534826802977,11.675699199903192
39,Trung ương,13826.52,87.11391398938032,-0.4304284035434591,112804.14000000001,12398.52,11.517503702054753,2024-12-29,2024-12,2024-11,2023-12,13826.52,11.517503702054753,-2.7573780222778908
40,Bộ Giao thông Vận tải,8465.42,93.05325381013542,-15.24654644289049,70223.83,7689.129999999999,10.095940633075529,2024-12-29,2024-12,2024-11,2023-12,8465.42,10.095940633075529,-17.16340066265991
