,Ngành,Total-M,Total-YOY,YOY,YTD-YOY,Date,Month,PreMonth,MOM
0,TỔNG TRỊ GIÁ,31109.320468,64268.238065,25.66732011081183,8.35273566956522,2025-02-28,2025-02,2025-01,-5.972355767284711
1,Khu vực kinh tế trong nước,8388,17923.296172999995,32.8415240347085,12.773843881988526,2025-02-28,2025-02,2025-01,-11.611108547403575
2,Khu vực có vốn đầu tư NN,22720.642807,46344.941892,23.210571426981573,6.734495041301855,2025-02-28,2025-02,2025-01,-3.707367812060184
3,Dầu thô,123.520447,252.710393,-43.63624168513228,-25.20908830659691,2025-02-28,2025-02,2025-01,-1.2716748932779467
4,Dầu thô,123.520447,252.710393,-43.63624168513228,-25.20908830659691,2025-02-28,2025-02,2025-01,-1.2716748932779467
5,Hàng hoá khác,22597.12236,46092.231499,24.014540027608717,6.985021241396055,2025-02-28,2025-02,2025-01,-3.720351586949704
6,Thủy sản,655.021754,1428.892595,44.51646322322006,18.986911176251837,2025-02-28,2025-02,2025-01,-15.366359098245923
7,Rau quả,313.972462,686.899079,-3.4907212621269963,-15.598252461010006,2025-02-28,2025-02,2025-01,-16.161898246576314
8,Hạt điều,199.636314,455.384016,41.43373723362319,-7.437411189059674,2025-02-28,2025-02,2025-01,-21.486560883283843
9,Cà phê,964.308331,1721.138489,82.59289486646242,37.1834633210504,2025-02-28,2025-02,2025-01,32.28443737536125
10,Chè,11.91987,28.316911,46.227169083510006,-2.578661518735913,2025-02-28,2025-02,2025-01,-27.43822548488626
11,Hạt tiêu,97.170654,184.448212,79.1035537632828,48.460953280040144,2025-02-28,2025-02,2025-01,10.996847559963712
12,Gạo,358.326898,674.75684,-1.8726961035334853,-4.863021023099407,2025-02-28,2025-02,2025-01,10.29250821810652
13,Sắn và sản phẩm của sắn,134.523887,233.700177,43.0419386058814,-18.953049745356182,2025-02-28,2025-02,2025-01,35.42303364883276
14,Bánh kẹo và các sản phẩm từ ngũ cốc,87.336365,185.099877,39.7684902812847,15.03448237030753,2025-02-28,2025-02,2025-01,-10.723790635488555
15,Thức ăn gia súc và nguyên liệu,84.047323,157.003031,44.51085086675744,10.052158669269943,2025-02-28,2025-02,2025-01,15.235610514538948
16,Clanhke và xi măng,113.080183,189.66364,48.37008482902854,-3.011816003333351,2025-02-28,2025-02,2025-01,47.97945491539306
17,Dầu thô,123.520447,252.710393,-43.63624168513228,-25.20908830659691,2025-02-28,2025-02,2025-01,-1.2716748932779467
18,Dầu thô,123.520447,252.710393,-43.63624168513228,-25.20908830659691,2025-02-28,2025-02,2025-01,-1.2716748932779467
19,Xăng dầu,71.046771,145.88089,-60.61418355969509,-60.73640337168454,2025-02-28,2025-02,2025-01,-4.532508037471757
20,Hóa chất,236.488425,449.708365,15.660745841054165,0.5808641507338876,2025-02-28,2025-02,2025-01,7.519480334963433
21,Sản phẩm hóa chất,221.235331,449.597079,25.760419798095583,7.593938584296424,2025-02-28,2025-02,2025-01,-3.1501617514861806
22,Chất dẻo nguyên liệu,206.201909,364.426697,-3.9602490959305925,-24.747337043830058,2025-02-28,2025-02,2025-01,30.663619997769132
23,Sản phẩm từ chất dẻo,495.135807,1076.392083,40.932393659575695,18.63754444902534,2025-02-28,2025-02,2025-01,-14.608825908443151
24,Cao su,225.710934,524.360177,73.69876644450153,22.808286895050543,2025-02-28,2025-02,2025-01,-24.429477391971915
25,Sản phẩm từ cao su,99.802359,205.987083,46.09117774035283,18.678759507722617,2025-02-28,2025-02,2025-01,-6.017081189500701
26,"Túi xách, ví, va li, mũ, ô dù",258.021619,623.352286,25.381065883886578,7.302142851308659,2025-02-28,2025-02,2025-01,-28.76129249429745
27,Gỗ và sản phẩm gỗ,1025.920191,2451.123524,33.88279841300209,9.414913545531661,2025-02-28,2025-02,2025-01,-27.693419430932806
28,Giấy và các sản phẩm từ giấy,155.408789,304.763629,18.126740057076773,0.16366322879592587,2025-02-28,2025-02,2025-01,4.434529220714651
29,"Xơ, sợi dệt các loại",347.058205,648.15816,83.14200057781426,-2.773002658680497,2025-02-28,2025-02,2025-01,15.181829161026485
30,"Dệt, may",2440.265306,5633.924903,20.68533552835828,9.258853899399782,2025-02-28,2025-02,2025-01,-23.488517197330708
31,Giày dép,1570.922289,3470.877362,33.463423109205934,10.264290646834453,2025-02-28,2025-02,2025-01,-17.246659544898662
32,"Nguyên phụ liệu dệt, may, da, giày",161.186993,350.09065,37.30506569738506,12.85549556131285,2025-02-28,2025-02,2025-01,-14.819451759330065
33,Thủy tinh và các sản phẩm từ thủy tinh,91.292855,193.620598,73.60156513013644,38.786157877504735,2025-02-28,2025-02,2025-01,-10.754515835220928
34,Sắt thép,535.50436,1143.79052,-28.050256590043702,-26.408144945855767,2025-02-28,2025-02,2025-01,-12.363262333888713
35,Sản phẩm từ sắt thép,403.952497,842.44342,59.71943239935493,32.12546684650508,2025-02-28,2025-02,2025-01,-7.981316416002059
36,Kim loại thường khác và sản phẩm,333.553727,684.406492,32.69549886382018,9.806153017982496,2025-02-28,2025-02,2025-01,-4.964396735803547
37,"Điện tử, máy tính và linh kiện",6470.894858,12535.309565,38.909925410722565,25.341509168631518,2025-02-28,2025-02,2025-01,6.8942119811619165
38,Điện thoại và linh kiện,4387.856038,9214.775515,11.311316691520062,-3.1283391700962966,2025-02-28,2025-02,2025-01,-9.201854700868196
39,"Máy ảnh, máy quay phim và LK",525.93034,1105.342725,-14.416525983216559,-23.20411222810847,2025-02-28,2025-02,2025-01,-8.579171456241738
40,"Máy móc thiết bị, dụng cụ PT khác",3821.361439,7691.779024,29.451251259003527,10.27577016243471,2025-02-28,2025-02,2025-01,-1.0695348378245484
41,Dây điện và cáp điện,292.694076,595.91784,51.59904596017762,22.923929533927875,2025-02-28,2025-02,2025-01,-3.0513905600285085
42,Phương tiện vận tải và phụ tùng,1277.630808,2473.852883,31.71623090809038,7.553027492506459,2025-02-28,2025-02,2025-01,6.946519382806542
43,SP nội thất từ chất liệu khác gỗ,235.427146,570.878007,40.31527555225304,18.3882726301229,2025-02-28,2025-02,2025-01,-29.42841043701445
44,"Đồ chơi, dụng cụ thể thao và bộ phận",361.43143,763.964039,106.48135337020045,64.2654381447449,2025-02-28,2025-02,2025-01,-10.04864683230295
45,TỔNG TRỊ GIÁ,33085.291801,33085.291801,-4.2632331057983635,-4.2632331057983635,2025-01-29,2025-01,2024-12,-6.87803801400932
46,Khu vực kinh tế trong nước,9489.880303000002,9489.880303000002,-0.9234504411277413,-0.9234504411277413,2025-01-29,2025-01,2024-12,-11.1670743769957
47,Khu vực có vốn đầu tư NN,23595.411497999998,23595.411497999998,-5.543825343188473,-5.543825343188473,2025-01-29,2025-01,2024-12,-5.033925442395628
48,Dầu thô,125.111458,125.111458,5.36547578173159,5.36547578173159,2025-01-29,2025-01,2024-12,6.3131019560847506
49,Dầu thô,125.111458,125.111458,5.36547578173159,5.36547578173159,2025-01-29,2025-01,2024-12,6.3131019560847506
50,Hàng hoá khác,23470.30004,23470.30004,-5.59592894710417,-5.59592894710417,2025-01-29,2025-01,2024-12,-5.087925624265409
51,Thủy sản,773.949634,773.949634,3.520194267456759,3.520194267456759,2025-01-29,2025-01,2024-12,-11.436979924589892
52,Rau quả,374.498534,374.498534,-23.339530703199017,-23.339530703199017,2025-01-29,2025-01,2024-12,-29.213872692694935
53,Hạt điều,254.270245,254.270245,-27.521645843276758,-27.521645843276758,2025-01-29,2025-01,2024-12,-29.86471173278224
54,Cà phê,728.965818,728.965818,0.33857805788227324,0.33857805788227324,2025-01-29,2025-01,2024-12,6.17705087007127
55,Chè,16.427203,16.427203,-21.456655745386357,-21.456655745386357,2025-01-29,2025-01,2024-12,-24.64476203621861
56,Hạt tiêu,87.543616,87.543616,25.086750522480656,25.086750522480656,2025-01-29,2025-01,2024-12,-10.119343111857276
57,Gạo,324.887795,324.887795,-5.5784828336933145,-5.5784828336933145,2025-01-29,2025-01,2024-12,-10.736526766087835
58,Sắn và sản phẩm của sắn,99.336046,99.336046,-48.87663145246247,-48.87663145246247,2025-01-29,2025-01,2024-12,-9.31530724241037
59,Bánh kẹo và các sản phẩm từ ngũ cốc,97.827143,97.827143,-0.6041085424266583,-0.6041085424266583,2025-01-29,2025-01,2024-12,-16.279066563149655
60,Thức ăn gia súc và nguyên liệu,72.9352,72.9352,-13.68872173436165,-13.68872173436165,2025-01-29,2025-01,2024-12,-24.360372435707248
61,Clanhke và xi măng,76.416137,76.416137,-35.96684865838404,-35.96684865838404,2025-01-29,2025-01,2024-12,-11.185423631322536
62,Dầu thô,125.111458,125.111458,5.36547578173159,5.36547578173159,2025-01-29,2025-01,2024-12,6.3131019560847506
63,Dầu thô,125.111458,125.111458,5.36547578173159,5.36547578173159,2025-01-29,2025-01,2024-12,6.3131019560847506
64,Xăng dầu,74.419857,74.419857,-61.06845227601422,-61.06845227601422,2025-01-29,2025-01,2024-12,-56.63403109983442
65,Hóa chất,219.949375,219.949375,-9.353032227579902,-9.353032227579902,2025-01-29,2025-01,2024-12,-7.728843250169305
66,Sản phẩm hóa chất,228.431286,228.431286,-5.58607195454789,-5.58607195454789,2025-01-29,2025-01,2024-12,-7.484053259449524
67,Chất dẻo nguyên liệu,157.811263,157.811263,-41.457300101066494,-41.457300101066494,2025-01-29,2025-01,2024-12,-10.578663440898467
68,Sản phẩm từ chất dẻo,579.844243,579.844243,4.294902968722852,4.294902968722852,2025-01-29,2025-01,2024-12,-11.139867248340536
69,Cao su,298.675894,298.675894,0.5538807978695957,0.5538807978695957,2025-01-29,2025-01,2024-12,-34.025958231018734
70,Sản phẩm từ cao su,106.192019,106.192019,0.8932891001139467,0.8932891001139467,2025-01-29,2025-01,2024-12,-9.676511799235016
71,"Túi xách, ví, va li, mũ, ô dù",362.19301,362.19301,-3.4517252788602804,-3.4517252788602804,2025-01-29,2025-01,2024-12,-12.405966431591779
72,Gỗ và sản phẩm gỗ,1418.847611,1418.847611,-3.736941219192147,-3.736941219192147,2025-01-29,2025-01,2024-12,-9.721320697635306
73,Giấy và các sản phẩm từ giấy,148.809776,148.809776,-13.83566108740392,-13.83566108740392,2025-01-29,2025-01,2024-12,-15.086802833342134
74,"Xơ, sợi dệt các loại",301.31333,301.31333,63.27507687595033,63.27507687595033,2025-01-29,2025-01,2024-12,-21.76265210268994
