,Ngành,Total-M-XK,Total-YOY-XK,YOY-XK,YTD-YOY-XK,Date,Total-M-NK,Total-YOY-NK,YOY-NK,YTD-YOY-NK,Thặng dự tháng,Thặng dự từ đầu năm,Kim ngạch xnk tháng,Kim ngạch xnk từ đầu năm
0,TỔNG TRỊ GIÁ,34010.0,93060.0,14.1910122923897,16.98316587986517,2024-03-29,31080.0,84980.0,9.705480296672263,13.883590948543386,2930.0,8080.0,65090.0,178040.0
1,Khu vực kinh tế trong nước,9539.5257126351,25209.7071306351,21.246904772759702,26.19765631871924,2024-03-29,10830.0,29696.990639,2.9127382617613904,14.39318277943154,-1290.4742873648993,-4487.283508364901,20369.5257126351,54906.697769635095
2,Khu vực có vốn đầu tư NN,24470.4742873649,67850.2928693649,11.657895991350586,13.893337016497084,2024-03-29,20250.0,55283.009361,13.719833988129352,13.611717869092187,4220.474287364901,12567.283508364904,44720.4742873649,123133.3022303649
3,TỔNG TRỊ GIÁ,24820.0,59340.0,-4.985801751581903,19.23689000925532,2024-02-29,23720.0,54620.0,1.819893111041296,17.99611955373186,1100.0,4720.0,48540.0,113960.0
4,Khu vực kinh tế trong nước,6616.241804216792,16143.175425216788,0.8787925149704279,33.32083939304184,2024-02-29,8420.0,19669.41862,5.442251380751003,27.417560498408463,-1803.758195783208,-3526.243194783212,15036.241804216792,35812.594045216785
5,Khu vực có vốn đầu tư NN,18203.758195783208,43196.82457478321,-6.951858771154335,14.708346153388844,2024-02-29,15300.0,34950.58138,-0.0693852548092621,13.282151322081075,2903.758195783208,8246.243194783208,33503.75819578321,78147.40595478321
6,TỔNG TRỊ GIÁ,33570.0,33570.0,41.98065706069429,41.98065706069429,2024-01-29,30650.0,30650.0,33.29784050947865,33.29784050947865,2920.0,2920.0,64220.0,64220.0
7,Khu vực kinh tế trong nước,9026.507464584553,9026.507464584553,62.64238444436165,62.64238444436165,2024-01-29,11150.0,11150.0,49.63304495305866,49.63304495305866,-2123.4925354154475,-2123.4925354154475,20176.507464584553,20176.507464584553
8,Khu vực có vốn đầu tư NN,24543.492535415447,24543.492535415447,35.64321011939717,35.64321011939717,2024-01-29,19500.0,19500.0,25.46600790549193,25.46600790549193,5043.4925354154475,5043.4925354154475,44043.49253541545,44043.49253541545
9,TỔNG TRỊ GIÁ,32910.0,355500.0,13.106899386124084,-4.362308886137058,2023-12-29,30630.0,327500.0,12.302817615650625,-8.920280595630842,2280.0,28000.0,63540.0,683000.0
10,Khu vực kinh tế trong nước,9437.972971426392,95552.05826242638,18.474800848930613,-0.3031021045079427,2023-12-29,10980.0,117287.30460899998,7.606073779949682,-7.221607564676873,-1542.0270285736078,-21735.246346573607,20417.972971426392,212839.36287142636
11,Khu vực có vốn đầu tư NN,23472.027028573608,259947.9417375736,11.083158526385176,-5.772541234183734,2023-12-29,19650.0,210212.695391,15.110280252307092,-9.841287140484184,3822.027028573608,49735.24634657361,43122.027028573604,470160.6371285736
12,TỔNG TRỊ GIÁ,31080.0,322500.0,6.731773968209836,-5.8721215730075045,2023-11-29,29800.0,296670.0,5.080647686541624,-10.722410116725712,1280.0,25830.0,60880.0,619170.0
13,Khu vực kinh tế trong nước,8485.774173832586,85941.04017683261,13.507624508200578,-2.202288960069893,2023-11-29,10600.0,105935.689613,4.173966604142862,-8.843301263893295,-2114.225826167414,-19994.649436167383,19085.774173832586,191876.7297898326
14,Khu vực có vốn đầu tư NN,22594.22582616741,236558.9598231674,4.391335427193098,-7.138071327599619,2023-11-29,19200.0,190734.310387,5.588005762161856,-11.73300056205268,3394.2258261674106,45824.64943616738,41794.225826167414,427293.2702101674
15,TỔNG TRỊ GIÁ,32310.0,291280.034948,5.90066922802049,-7.087494348065164,2023-10-29,29310.0,266670.0,5.226013771321391,-12.262711989205629,3000.0,24610.034947999986,61620.0,557950.034948
16,Khu vực kinh tế trong nước,8491.108946763692,77090.02292876365,15.11918829117704,-4.117340212455815,2023-10-29,10360.0,95079.87625,8.466536655681466,-10.333678286000364,-1868.891053236308,-17989.853321236355,18851.108946763692,172169.89917876365
17,Khu vực có vốn đầu tư NN,23818.891053236308,214190.01201923637,2.961456681028736,-8.111958740798116,2023-10-29,18950.0,171590.12375,3.534962056281742,-13.296292825087292,4868.891053236308,42599.88826923637,42768.89105323631,385780.13576923637
18,TỔNG TRỊ GIÁ,31410.0,259670.0,4.568723977758424,-8.240430037064357,2023-09-29,29120.0,237990.0,2.5692260797433306,-13.798954226650553,2290.0,21680.0,60530.0,497660.0
